type,address,item type,score,stauts,name,price,upc
walmart,301 Ranch Dr,Bottled-Water,7.5,,,,
,,,,In Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
,,,,In Stock,"Essentia Water; Better Rehydration* 1 Liter Bottles, Case of 6",998,65722700210
,,,,Limited Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,Limited Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
walmart,301 Ranch Dr,Toilet-Paper,10.0,,,,
,,,,In Stock,"Scott 1000 Toilet Paper, 20 Rolls, 20,000 Sheets",1427,5400037551
,,,,In Stock,"Equate Flushable Wipes, Fresh Scent, 3 Packs of 48 Wipes, 144 Wipes Total",378,68113110523
,,,,In Stock,"Cottonelle FreshCare Flushable Wet Wipes Resealable Refill Pack, 252 Wipes Per Pack",932,3600043541
,,,,In Stock,"Cottonelle FreshCare Flushable Wipes, resealable pack, 168 wipes total",638,3600041777
walmart,301 Ranch Dr,Masks,7.5,,,,
,,,,In Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,Limited Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,Limited Stock,"L'Oreal Paris Revitalift Triple Power Intensive Anti-Aging Night Face Mask, 1.7 oz.",1797,7124924073
walmart,301 Ranch Dr,Canned-Food,8.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"Muir Glen, Organic Crushed Fire Roasted Tomatoes, 28 oz",243,72534229043
,,,,In Stock,"East Point Wild Caught Tiny North Pacific Shrimp, 4 oz",354,4136910120
,,,,Limited Stock,"(18 Pack) Fancy Feast Gravy Wet Cat Food Variety Pack, Medleys Florentine Collection, 3 oz. Cans",1458,5000057282
,,,,Limited Stock,"Rachael Ray Nutrish PEAK Natural Premium Wet Dog Food Variety Pack, Grain Free Adventure Pack, 3.5 Oz. Tub (Pack Of 18)",1082,7119000183
walmart,301 Ranch Dr,Hand-sanitizer,12.0,,,,
,,,,In Stock,Germ-X 12 Fl. Oz. Aloe Advanced Hand Sanitizer,266,7278512512
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Hello Bello Hand Sanitizer Spray, Apple Blossom, 1.65oz",184,810007189925
,,,,In Stock,"Way To Celebrate Valentine's Day Hand Sanitizer, Lion",10,190425081248
,,,,In Stock,HAND SANITIZER ASST,10,190425081125
walmart,301 Ranch Dr,Wet-Wipes,8.0,,,,
,,,,In Stock,"Cottonelle FreshCare Flushable Wet Wipes Resealable Refill Pack, 252 Wipes Per Pack",932,3600043541
,,,,In Stock,"Olay Regenerist Micro-Exfoliating Wet Cleansing Cloths, 30 Count",692,7560960404
,,,,In Stock,"Equate Flushable Wipes, Fresh Scent, 5 packs of 48 wipes, 240 wipes total",642,68113110526
,,,,Limited Stock,"Lysol Disinfecting Wipes, Brand New Day Mango Hibiscus Wet Wipes, 80 Ct",368,1920097181
,,,,Limited Stock,"Cottonelle FreshCare Flushable Wet Wipes, Flip-Top Resealable Tub, 42 Total Wipes",268,3600072400
walmart,301 Ranch Dr,Hot-Dogs,20.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 16 Count",526,5450019334
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Lightlife Smart Dogs Meatless Veggie Hot Dogs, 8 count, 12 oz",297,4345410080
,,,,In Stock,"Ball Park Angus Beef Hot Dogs, Bun Size Length, 8 Count",294,5450010174
,,,,In Stock,"Oscar Mayer Classic Uncured Beef Hot Dogs, 10 ct - 15.0 oz Package",294,4470007505
walmart,301 Ranch Dr,Rice,7.5,,,,
,,,,In Stock,"Mahatma Organic White Rice, 2-Pound Bag",333,1740014080
,,,,Limited Stock,"Botan Extra Fancy Calrose Rice, 20 lb",1748,1115214409
walmart,301 Ranch Dr,Frozen-Foods,17.0,,,,
,,,,In Stock,HOT POCKETS Philly Steak & Cheese Frozen Sandwiches 12 ct. Box Frozen Food Cheesesteak With Reduced-Fat Mozzarella Cheese,962,4369507520
,,,,In Stock,"STOUFFERS CLASSICS Lasagna with Meat & Sauce, Party Size Frozen Meal",1178,1380055131
,,,,In Stock,"Tyson Fully Cooked Fun Nuggets with Whole Grain Breading, 29 oz. (Frozen)",497,2370001452
,,,,In Stock,"Jimmy Dean Meat Lovers Breakfast Bowl, 7 oz.",264,7790070615
,,,,In Stock,Healthy Choice Simply Steamers Frozen Dinner Grilled Chicken & Broccoli Alfredo 9.15 Ounce,258,7265500124
walmart,301 Ranch Dr,Pasta,12.0,,,,
,,,,In Stock,Pasta Roni White Cheddar & Broccoli Flavor Pasta Mix 5.5 oz. Box,100,1530044033
,,,,In Stock,"Great Value Artisan Crafted Havarti Cheddar Macaroni & Cheese, 12 oz",198,7874200202
,,,,In Stock,"LEAN CUISINE FAVORITES Alfredo Pasta with Chicken & Broccoli, Frozen Meal",198,1380017419
,,,,In Stock,"Interamerican Foods La Moderna Spaghetti, 16 oz",72,2924300019
,,,,Limited Stock,BIRDS EYE Steamfresh Pasta Marinara,297,1450001745
walmart,301 Ranch Dr,Beans,10.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"Amy's Southwestern Burrito, Made with Organic Corn, Beans and Tomatoes, Non GMO, 5.5-Ounce",274,4227200076
,,,,In Stock,Mama Julia Pinto Beans,172,85370200253
walmart,301 Ranch Dr,Chicken,16.0,,,,
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Grilled Chicken Breast Strips, 22 oz. (Frozen)",668,2370001625
,,,,In Stock,Perdue Harvestland NAE Frozen Boneless Skinless Indiviually Wrapped Chicken Breasts (2.25 lbs.),988,7274554618
,,,,In Stock,"Tyson Naturals Gluten Free Breaded Chicken Breast Nuggets, 20 oz. (Frozen)",677,2370004385
,,,,In Stock,"Applegate Naturals Gluten-Free Chicken Nuggets, 16.0 OZ",987,2531705519
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 5 lb. (Frozen)",976,7874202661
walmart,301 Ranch Dr,Paper-Towels,10.0,,,,
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 6 Double Rolls",644,030400221002
,,,,In Stock,"Great Value Everyday Strong Paper Towels, Split Sheet, 4 Double Rolls",382,078742210797
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 2 Double Rolls = 4 Regular Rolls",464,037000762287
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 12 Double Rolls = 24 Regular Rolls",1988,037000762096
walmart,301 Ranch Dr,Egg,14.0,,,,
,,,,In Stock,"Great Value Jumbo White Eggs, 12 count, 30 oz",260,7874212714
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",307,7874214839
,,,,In Stock,"Great Value Large White Grade AA Eggs, 12 Count",208,7874214838
,,,,In Stock,"Egg-Land's Best Extra Large White Grade A Eggs, 12 Count",282,71514172928
,,,,In Stock,"Great Value Large White AA Eggs, 6 Count",120,7874214810
walmart,301 Ranch Dr,Milk,10.0,,,,
,,,,In Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
walmart,301 Ranch Dr,Bread,10.0,,,,
,,,,In Stock,Canyon Bakehouse Gluten Free Ancient Grain Bread 15 oz,498,85358400229
walmart,1400 Hilltop Mall Rd,Peanut-Butter,9.0,,,,
,,,,In Stock,"SKIPPY Natural Creamy Peanut Butter, 15 oz",248,3760010506
,,,,In Stock,"PBfit Organic All-Natural Peanut Butter Powder, 15 oz",868,89792200275
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,In Stock,Nuttzo Seed Butter Peanut,697,89469700227
,,,,Limited Stock,"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",332,7874200831
walmart,1400 Hilltop Mall Rd,Meat,10.0,,,,
,,,,In Stock,"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",447,7874226954
,,,,In Stock,"Ball Park Fully-Cooked Flame Grilled Original Beef Patties, 6 Count (Frozen)",697,5450019145
,,,,In Stock,"PRICE PER LB: Foster Farms Party Pack Chicken Wings, 4.75-5.0 lb",227,25945200000
,,,,In Stock,"Tyson Premium Whole Cornish Hen (Twin Pack), 52 oz.",768,2370004130
walmart,1400 Hilltop Mall Rd,Bottled-Water,6.25,,,,
,,,,In Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
,,,,Limited Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,Limited Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
,,,,Limited Stock,"Essentia Water; Better Rehydration* 1 Liter Bottles, Case of 6",998,65722700210
walmart,1400 Hilltop Mall Rd,Toilet-Paper,10.0,,,,
,,,,In Stock,"Scott 1000 Toilet Paper, 20 Rolls, 20,000 Sheets",1427,5400037551
,,,,In Stock,"Cottonelle Ultra CleanCare Toilet Paper, 12 Mega Rolls (=48 Regular Rolls)",1248,3600047804
walmart,1400 Hilltop Mall Rd,Masks,7.5,,,,
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,In Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,Limited Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
,,,,Limited Stock,"L'Oreal Paris Revitalift Triple Power Intensive Anti-Aging Night Face Mask, 1.7 oz.",1797,7124924073
walmart,1400 Hilltop Mall Rd,Canned-Food,12.0,,,,
,,,,In Stock,"Bumble Bee Prime Fillet Solid White Albacore Tuna in Water, 5oz Can, High Protein Food and Snacks",212,8660000011
,,,,In Stock,"(4 Cans) Chicken of the Sea Chunk Light Tuna in Water, 5 oz",357,4800070065
,,,,In Stock,"East Point Wild Caught Tiny North Pacific Shrimp, 4 oz",354,4136910120
,,,,In Stock,Bumble Bee 3 Pack Solid White Tuna 4 Count,388,8660010251
,,,,In Stock,"Dominguez Family Enterprises Juanitas Foods Menudo, 25 oz",294,7013200201
walmart,1400 Hilltop Mall Rd,Hand-sanitizer,15.0,,,,
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Butterflies",10,190425083594
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Bunny, 1 fl oz",10,190425083631
,,,,In Stock,HAND SANITIZER ASST,10,190425083563
,,,,In Stock,"Hand Sanitizer with Cup Cat Holder, 30 mL.",25,843736037984
walmart,1400 Hilltop Mall Rd,Wet-Wipes,9.0,,,,
,,,,In Stock,"2 Pack, Equate Beauty Makeup Remover Wipes, 80 Count",597,68113107281
,,,,In Stock,"2 Pack, Equate Beauty Night-Time Soothing Makeup Remover Wipes, 40 ct",597,68113111216
,,,,Limited Stock,"Olay Regenerist Micro-Exfoliating Wet Cleansing Cloths, 30 Count",692,7560960404
,,,,Limited Stock,"Bona Express Disposable Wet Cleaning Pads for Hardwood Floors, 12 count",897,73702501128
,,,,Limited Stock,"2 Pack, Neutrogena Night Calming Makeup Remover Wipes, 25 ct",1096,7050120008
walmart,1400 Hilltop Mall Rd,Hot-Dogs,20.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 16 Count",526,5450019334
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Lightlife Smart Dogs Meatless Veggie Hot Dogs, 8 count, 12 oz",100,4345410080
,,,,In Stock,"Ball Park Classic Hot Dogs, Bun Size Length, 8 Count",166,5450019327
,,,,In Stock,"Oscar Mayer Classic Uncured Beef Hot Dogs, 10 ct - 15.0 oz Package",294,4470007505
walmart,1400 Hilltop Mall Rd,Rice,7.5,,,,
,,,,In Stock,"InnovAsian Vegetable Fried Rice Frozen Asian Side Dish, 18 oz",374,69511912014
,,,,Limited Stock,"Botan Extra Fancy Calrose Rice, 20 lb",1748,1115214409
walmart,1400 Hilltop Mall Rd,Frozen-Foods,19.0,,,,
,,,,In Stock,HOT POCKETS Applewood Bacon Egg and Cheese Frozen Sandwiches 5 ct. Box Frozen Food With Reduced-Fat Cheddar Cheese,500,4369521114
,,,,In Stock,HOT POCKETS Philly Steak & Cheese Frozen Sandwiches 12 ct. Box Frozen Food Cheesesteak With Reduced-Fat Mozzarella Cheese,962,4369507520
,,,,In Stock,"Tyson Fully Cooked Fun Nuggets with Whole Grain Breading, 29 oz. (Frozen)",497,2370001452
,,,,In Stock,"STOUFFERS CLASSICS Lasagna with Meat & Sauce, Party Size Frozen Meal",1178,1380055131
,,,,In Stock,"STOUFFERS CLASSICS Spaghetti with Meat Sauce, Frozen Meal",248,1380012007
walmart,1400 Hilltop Mall Rd,Pasta,8.333333333333334,,,,
,,,,In Stock,BIRDS EYE Steamfresh Pasta Marinara,297,1450001745
,,,,In Stock,"STOUFFER'S CLASSICS Fettuccini Alfredo, Frozen Meal",248,1380012006
,,,,Limited Stock,"Pasta Lensi Red Lentil Fusilli, 10 oz",344,4732591015
walmart,1400 Hilltop Mall Rd,Beans,10.0,,,,
,,,,In Stock,"Great Value Cut Green Beans, 12 oz",77,7874223734
walmart,1400 Hilltop Mall Rd,Chicken,15.0,,,,
,,,,In Stock,Perdue Harvestland NAE Frozen Boneless Skinless Indiviually Wrapped Chicken Breasts (2.25 lbs.),988,7274554618
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Grilled Chicken Breast Strips, 22 oz. (Frozen)",668,2370001625
,,,,In Stock,"Applegate Naturals Gluten-Free Chicken Nuggets, 16.0 OZ",987,2531705519
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Oven Roasted Diced Chicken Breast, 22 oz. (Frozen)",668,2370001627
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 5 lb. (Frozen)",976,7874202661
walmart,1400 Hilltop Mall Rd,Paper-Towels,10.0,,,,
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 4 Double Rolls",498,030400221026
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 12 Double Rolls = 24 Regular Rolls",1988,037000762096
,,,,In Stock,"Great Value Ultra Strong Paper Towels, Split Sheets, 2 Double Rolls",367,078742210810
walmart,1400 Hilltop Mall Rd,Egg,18.0,,,,
,,,,In Stock,"Egg-Land's Best Farm Fresh Large White Grade AA Eggs, 12 Count",267,71514150349
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 12 count, 24 oz",362,68113112277
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",420,7874214839
,,,,In Stock,"Marketside Large Cage Free Brown Eggs, 12 count, 24 oz",248,68113112276
,,,,In Stock,"Egg-Land's Best Farm Fresh Extra Large White Grade AA Eggs, 18 Count",412,71514111356
walmart,1400 Hilltop Mall Rd,Milk,5.0,,,,
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
walmart,8270 Delta Shores Circle,Peanut-Butter,8.0,,,,
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,In Stock,Nuttzo Seed Butter Peanut,697,89469700227
,,,,In Stock,"Sam's Choice Creamy Honey Almond Butter, 12 oz",498,7874223286
,,,,Limited Stock,"PBfit Organic All-Natural Peanut Butter Powder, 15 oz",868,89792200275
,,,,Limited Stock,"MaraNatha Light Roast Creamy Almond Butter, 12 Ounce Jar",698,5165119240
walmart,8270 Delta Shores Circle,Meat,10.0,,,,
,,,,In Stock,"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",447,7874226954
,,,,In Stock,"Morningstar Farms Meat Lovers Vegan Burgers, 4oz, 4 count",648,2898910229
,,,,In Stock,"Ball Park Fully-Cooked Flame Grilled Original Beef Patties, 6 Count (Frozen)",697,5450019145
,,,,In Stock,"PRICE PER LB: Foster Farms Party Pack Chicken Wings, 4.75-5.0 lb",227,25945200000
,,,,In Stock,"Tyson Boneless Skinless Chicken Breasts, 3 lb. (Frozen)",714,2370016226
walmart,8270 Delta Shores Circle,Bottled-Water,8.0,,,,
,,,,In Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,In Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,In Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
,,,,Limited Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
,,,,Limited Stock,HFactor - Hydrogen Infused Water - 11 fl. oz.,100,85242700606
walmart,8270 Delta Shores Circle,Toilet-Paper,10.0,,,,
,,,,In Stock,"Scott 1000 Toilet Paper, 20 Rolls, 20,000 Sheets",1427,5400037551
,,,,In Stock,"Scott 1000 Toilet Paper, 12 Rolls, 12,000 Sheets",987,5400010060
walmart,8270 Delta Shores Circle,Masks,9.0,,,,
,,,,In Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,In Stock,"L'Oreal Paris Revitalift Triple Power Intensive Anti-Aging Night Face Mask, 1.7 oz.",1797,7124924073
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,Limited Stock,"Spascriptions Rose, Gold & Cucumber Gel Face Mask",300,81465502481
,,,,Limited Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
walmart,8270 Delta Shores Circle,Canned-Food,6.25,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,Limited Stock,"Rachael Ray Nutrish PEAK Natural Premium Wet Dog Food Variety Pack, Grain Free Adventure Pack, 3.5 Oz. Tub (Pack Of 18)",1082,7119000183
,,,,Limited Stock,"East Point Wild Caught Tiny North Pacific Shrimp, 4 oz",354,4136910120
,,,,Limited Stock,"Muir Glen, Organic Crushed Fire Roasted Tomatoes, 28 oz",243,72534229043
walmart,8270 Delta Shores Circle,Hand-sanitizer,14.0,,,,
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Hello Bello Hand Sanitizer Spray, Apple Blossom, 1.65oz",184,810007189925
,,,,In Stock,HAND SANITIZER ASST,10,190425083563
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Butterflies",10,190425083594
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Bunny, 1 fl oz",10,190425083631
walmart,8270 Delta Shores Circle,Wet-Wipes,14.0,,,,
,,,,In Stock,"2 Pack, Equate Beauty Makeup Remover Wipes, 80 Count",597,68113107281
,,,,In Stock,"2 Pack, Equate Beauty Night-Time Soothing Makeup Remover Wipes, 40 ct",597,68113111216
,,,,In Stock,Neutrogena Makeup Remover Cleansing Towelettes,493,7050111090
,,,,In Stock,"Olay Regenerist Micro-Exfoliating Wet Cleansing Cloths, 30 Count",692,7560960404
,,,,In Stock,"Olay Daily Facials Deep Purifying Cleansing Cloths, 66 Count",1197,7560904130
walmart,8270 Delta Shores Circle,Hot-Dogs,20.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 16 Count",526,5450019334
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Lightlife Smart Dogs Meatless Veggie Hot Dogs, 8 count, 12 oz",297,4345410080
,,,,In Stock,"Ball Park Angus Beef Hot Dogs, Bun Size Length, 8 Count",294,5450010174
,,,,In Stock,"Oscar Mayer Classic Uncured Beef Hot Dogs, 10 ct - 15.0 oz Package",294,4470007505
walmart,8270 Delta Shores Circle,Rice,6.25,,,,
,,,,In Stock,"Mahatma Jasmine Brown Rice, 2-Pound Bag",268,1740022259
,,,,Limited Stock,"Botan Extra Fancy Calrose Rice, 20 lb",1748,1115214409
,,,,Limited Stock,"UNCLE BEN'S Ready Rice: Cheddar Broccoli, 8.5oz",198,5480042080
,,,,Limited Stock,"InnovAsian Vegetable Fried Rice Frozen Asian Side Dish, 18 oz",374,69511912014
walmart,8270 Delta Shores Circle,Frozen-Foods,17.0,,,,
,,,,In Stock,HOT POCKETS Philly Steak & Cheese Frozen Sandwiches 12 ct. Box Frozen Food Cheesesteak With Reduced-Fat Mozzarella Cheese,962,4369507520
,,,,In Stock,Healthy Choice Simply Steamers Frozen Dinner Grilled Chicken & Broccoli Alfredo 9.15 Ounce,258,7265500124
,,,,In Stock,"John Soules Foods Chicken Fajitas, 16oz",498,3469512570
,,,,In Stock,"Jimmy Dean Meat Lovers Breakfast Bowl, 7 oz.",264,7790070615
,,,,In Stock,Healthy Choice Cafe Steamers Frozen Dinner Asian Inspired Beef Teriyaki 9.5 Ounce,252,7265500110
walmart,8270 Delta Shores Circle,Pasta,9.0,,,,
,,,,In Stock,"Rana Mozzarella Cheese Ravioli, 18 oz",592,87744800261
,,,,In Stock,"Golden Grain Linguine Pasta, 16 oz",138,4732590765
,,,,In Stock,"Golden Grain Angel Hair Pasta, 16 oz",138,4732590764
,,,,Limited Stock,Pasta Roni White Cheddar & Broccoli Flavor Pasta Mix 5.5 oz. Box,100,1530044033
,,,,Limited Stock,BUITONI Spinach & Artichoke Ravioli Refrigerated Pasta 9 oz. Pack,388,2484283989
walmart,8270 Delta Shores Circle,Beans,10.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,C & W Frozen Foods C & W Petite Whole Beans 14 oz,192,7033200055
,,,,In Stock,BIRDS EYE C and W Premium Quality Tiny Whole Green Beans,192,7033200053
,,,,In Stock,"Amy's Southwestern Burrito, Made with Organic Corn, Beans and Tomatoes, Non GMO, 5.5-Ounce",274,4227200076
walmart,8270 Delta Shores Circle,Chicken,13.0,,,,
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 10 lb. (Frozen)",1883,7874212726
,,,,In Stock,"PRICE PER LB: Tyson Trimmed & Ready All Natural* Chicken Breast Tenderloins, 1.0 - 2.0 lb",484,22557500000
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Pulled Chicken Breast, 20 oz (Frozen)",668,2370003964
,,,,In Stock,"Tyson Boneless Skinless Chicken Breasts, 3 lb. (Frozen)",714,2370016226
,,,,In Stock,Perdue Harvestland NAE Frozen Boneless Skinless Indiviually Wrapped Chicken Breasts (2.25 lbs.),988,7274554618
walmart,8270 Delta Shores Circle,Paper-Towels,10.0,,,,
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 6 Double Rolls",644,030400221002
,,,,In Stock,"Viva Multi-Surface Cloth Paper Towels, Choose-A-Sheet, 6 Double Rolls (=12 Regular Rolls)",998,036000508642
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 2 Double Rolls = 4 Regular Rolls",464,037000762287
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 4 Double Rolls",498,030400221026
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 12 Double Rolls = 24 Regular Rolls",1988,037000762096
walmart,8270 Delta Shores Circle,Egg,17.0,,,,
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 18 count, 36 oz",574,68113112280
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 12 count, 24 oz",362,68113112277
,,,,In Stock,"Marketside Large Cage Free Brown Eggs, 12 count, 24 oz",248,68113112276
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",402,7874214839
,,,,In Stock,"Great Value, Extra Large Grade AA Eggs, 12 Count",304,7874214823
walmart,8270 Delta Shores Circle,Milk,7.5,,,,
,,,,In Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf-Stable DHA Omega-3 Chocolate Milk, 8 Oz., 6 Count",684,74236500432
walmart,8270 Delta Shores Circle,Bread,10.0,,,,
,,,,In Stock,Canyon Bakehouse Gluten Free Ancient Grain Bread 15 oz,498,85358400229
walmart,4080 Stevens Creek Blvd,Peanut-Butter,10.0,,,,
,,,,In Stock,"SKIPPY Natural Creamy Peanut Butter, 15 oz",248,3760010506
,,,,In Stock,"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",332,7874200831
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,In Stock,Nuttzo Seed Butter Peanut,697,89469700227
,,,,Limited Stock,"MaraNatha Light Roast Creamy Almond Butter, 12 Ounce Jar",698,5165119240
walmart,4080 Stevens Creek Blvd,Meat,10.0,,,,
,,,,In Stock,"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",398,7874226954
,,,,In Stock,"Marketside Butcher Ground Bison, 1 lb",898,68113115195
,,,,In Stock,"PRICE PER LB: Foster Farms Party Pack Chicken Wings, 4.75-5.0 lb",227,25945200000
,,,,In Stock,Morningstar Farms Frozen Veggie Hot Dogs 8.4 oz 6 ct,283,2898957799
,,,,Limited Stock,"All Natural* 85% Lean/15% Fat Angus Steak Patties 12 Count, 4 lb",1598,7874226951
walmart,4080 Stevens Creek Blvd,Bottled-Water,8.0,,,,
,,,,In Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
,,,,In Stock,"Essentia Water; Better Rehydration* 1 Liter Bottles, Case of 6",998,65722700210
,,,,Limited Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,Limited Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,Limited Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
walmart,4080 Stevens Creek Blvd,Toilet-Paper,7.5,,,,
,,,,In Stock,"Equate Flushable Wipes, Fresh Scent, 3 Packs of 48 Wipes, 144 Wipes Total",378,68113110523
,,,,Limited Stock,"Cottonelle Ultra ComfortCare Toilet Paper, 12 Mega Rolls (=48 Regular Rolls)",1248,3600048596
walmart,4080 Stevens Creek Blvd,Masks,9.0,,,,
,,,,In Stock,"SheaMoisture African Black Soap Clarifying Mud Mask Packette Sulfate-Free, 0.5 oz",248,76430227072
,,,,In Stock,"L'Oreal Paris Revitalift Triple Power Intensive Anti-Aging Night Face Mask, 1.7 oz.",1797,7124924073
,,,,In Stock,"PAW Patrol Costume Party Masks, 8ct",297,6431922743
,,,,Limited Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,Limited Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
walmart,4080 Stevens Creek Blvd,Canned-Food,13.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"Bumble Bee Prime Fillet Solid White Albacore Tuna in Water, 5oz Can, High Protein Food and Snacks",212,8660000011
,,,,In Stock,"(18 Pack) Fancy Feast Gravy Wet Cat Food Variety Pack, Medleys Florentine Collection, 3 oz. Cans",1458,5000057282
,,,,In Stock,"(4 Cans) Chicken of the Sea Chunk Light Tuna in Water, 5 oz",357,4800070065
,,,,In Stock,"BUSH'S Savory Beans, Black Bean Fiesta, 15.5 oz Canned Beans",134,3940001194
